Society,SCCS.Name,Region,Subsistence,Latitude,Longitude,Fertility,Spirits,Punishment,Protection,Sex.Play,Sex.Magic,Sex.Total,Play,Magic,Complexity,Impotence,Sex.Frequency,Explanation.of.Barrenness,Sterility.Causes.Divorce,Revenge,Gossip,tree_name,Assault,Revenge.Norms
Kuna,Cuna_Tule,Central America,NA,9.16,-78.31,0,1,0,1,NA,0,0,0,1,23,NA,4,NA,0,0,4,Cuna_Tule,NA,NA
Miskito,Miskito,Central America,NA,15.16,-84.29,0,0,1,1,NA,0,0,0,1,17,1,NA,NA,3,0,2,Miskito,1,5
Eastern Pomo,Pomo_Eastern,North America,NA,39,-123,1,0,1,0,1,0,1,1,1,12,NA,NA,NA,3,1,3.5,MISSING_Pomo_Eastern,6,2
Havasupai,Havasupai,North America,NA,35.83,-112.17,0,0,0,0,1,NA,1,1,0,10,NA,2,1,0,1,4,Havasupai,NA,2
Chachi,Cayapa,South America,NA,1,-79,0,0,0,0,0,NA,0,1,0,14,NA,NA,NA,NA,0,2,Cayapa,1,NA
Canela,Ramcocamerca Timbira,South America,NA,6.5,-46,0,0,0,0,1,NA,1,1,0,13,NA,2,NA,4,1,4,MISSING_Timbira,3,3
Xavante,Shavante,South America,NA,13.5,-51.5,0,0,0,0,1,NA,1,1,0,5,0,1,NA,NA,1,NA,Shavante,NA,5
Warao,Warrau,South America,NA,9.08,-62,0,1,1,0,1,-1,0,1,1,6,NA,NA,NA,NA,1,3,Warrau,NA,NA
Huichol,Huichol,Central America,NA,22,-105,0,1,0,0,1,0,0,1,1,18,NA,2,NA,0,NA,NA,Huichol,5,NA
Aztec,Aztec,Central America,NA,19,-99.17,0,0,0,0,1,NA,1,1,0,34,NA,NA,NA,4,1,4,Aztec,NA,2
O'oodham,Papago,North America,NA,32,-112,0,1,1,1,0,-1,0,1,1,17,NA,NA,NA,0,1,3,Papago,NA,NA
Northern Paiute,Paiute_North,North America,NA,43.5,-119,0,0,0,0,1,NA,1,1,0,4,NA,2,NA,0,1,4,Paiute_North,8,NA
Comanche,Comanche,North America,NA,34,-101.5,0,0,0,0,1,NA,1,1,0,7,NA,NA,NA,0,1,4,Comanche,NA,5
