Society,Culture Region,Description,Age of doll,Gender of doll,Clothes,Hair,Face,Materials,Use,Type of Magic,Type of Play,User age,User gender,Maker age,Maker gender,Age at alloparenting,Age at marriage,Source,Children Do Childcare
Abkhazians,Caucasus,"""She then makes a richly-dressed doll in the image of a man, buries it in the earth for the “liberation” of the sick person, and says, “Play and amuse yourself with this instead of with the sick one.”"" pg 45",Adult,Man,Yes,NA,NA,NA,Magic,Protection,,,,Adult,Woman,,," (1894) Abkhazia and the Abkhaz
Section: 1. The Ceremony in Honor of Mother Earth
By: Janašvili, Mose ",
Ainu,East Asia,"""The Ainu, like the Gilyak, try equally hard to protect themselves from the repetition of such a misfortune by sacrifices and prayers. In the south of Sakhalin Island for instance, they hang, in honor of the gods and spirits, the usual sacrificial object, the intricately carved stick ( inau ), over the bed of a mother of twins. In the northern villages they attach, apart 771 cont. from the inau, two little dolls or rather wooden sticks to the wall, which are meant to represent the twins. This inau is renewed every time the old ashes are removed from the yurt, whereupon they sacrifice to almost all the gods. In the house of one Ainu who inhabited the northern most village of Taraika I saw talismans that had the purpose of preventing the recurrence of a twin birth."" pg 13",NA,NA,NA,NA,NA,Wood,Magic,Protection,,,,Adult,,,," (1910) Pregnancy, birth and miscarriage among the inhabitants of Sakhalin Island (Gilyak and Ainu)
Section: General Treatment of Women.
By: Pilsudski, Bronislaw ",
Akan,Western Africa,"""It is said that dolls were also bought (or even carved) by fathers or by husbands for daughters or wives. Young (pre-menarche) girls were given these carvings to play with: it was believed that by looking upon a well-formed doll a woman was influenced or assisted to bear a good-looking child. A link of some sort was conceived between the form and quality of the doll and the nature of the child eventually born."" pg 166 ""Sometimes loops of beads are tied around the ‘waist’."" pg 164",Infant,Man and Woman,Yes,NA,NA,Wood,Play & Magic,Fertility,Caregiving,"Child, Adult",Girl,Adult,Man,,," (1981) The Asante
Section: 12 Wood-carvings
By: McLeod, M. D. (Malcolm D.",
Akan (2),Western Africa,"""This very elaborate suman formerly had its head-quarters on the shore of Lake Bosomtwe. 2 2 See Ashanti, Chapter II, for a full account of the lake. It was used ostensibly for the purpose of discovering witches, but like so many fetishes, once they have achieved a more than personal or local reputation, was being used for purposes of blackmail and extortion. This fetish, in common with several others, I believe, was not of pure Ashanti origin, having been introduced from Apollonia. It was far more elaborate than the usual unostentatious suman, having its men and women attendants and its temples, exactly on the same lines as the orthodox abosom. The complete fetish comprised at least six separate suman, all in anthropomorphic form. The most striking part of the fetish were representations of two life-sized models in clay of female breasts which, supported on a column, formed a kind of alter, the whole having the general appearance of a headless and armless trunk. Fig. 25 is a sketch made from photographs which I took, none of which, however, were successful owing to the dim lighting of the interior of the temple. Between the breasts a knife was thrust and below it was a chaplet of leaves. Above the breasts rested the small wood in figure called Fwemso, from which the whole composite fetish took its name. Suspended above the breasts and swinging between two upright posts was another ‘doll’ called mframa (lit. the wind). The remaining dolls, four in number, stood all round resting beside covered pots. One of these dolls, Kwaku by name, carried a knife under his armpit."" pg 31",,,,,,,Magic,Punishment,,,,,,,,,
Amahuaca,Amazon and Orincoco,"""These two girls also made sun-dried clay dolls, complete with incised lines to represent painted facial designs. Seeds were pressed into the clay to represent eyes and necklaces, and the dolls' heads were topped with some of the girls' own hair. These dolls are also said to help cause pregnancy."" pg 17",,,,Yes,,,"Play, Magic",Fertility,,Child,Girl,Child,Girl,,," (1974) The marriages of Pacho: a woman's life among the Amahuaca
Section: The Marriages of Pacho: A Woman's Life among the Amahuaca
By: Dole, Gertrude Evelyn",
Barama River Carib,Amazon and Orincoco,"""When pregnant and yearning to have a healthy child, women occasionally fashion out of beeswax dolls that fit in the palm of their hands. These dolls are eventually discarded. "" pg 7",,,,,,Beeswax,Magic,Fertility,,,,Adult,Woman,,," (2009) Culture summary: Barama River Carib
Section: ARTS
By: Adams, Kathleen J.",
Barama River Carib,Amazon and Orincoco,"""Small girls play with dolls (myakonbokupo) made from patumo wood and dressed with bits of cotton or cloth."" pg 59",,,Yes,,,"Wood, Cloth",Play,,,Child,Girl,,,,," (1936) The Barama River Caribs of British Guiana
Section: RECREATION AMUSEMENTS, STIMULANTS AND NARCOTICS, ART
By: Gillin, John",
Saramaka,Amazon and Orincoco,"""Women children played with “gossi.” She put down her pestle, and felt about in her cloth where the child slept, and brought out a gourd, resembling in size a small cucumber. It had beads on top for eyes and a few deft cuts to indicate nose and mouth, while above the eyes was crosshatching for the hair. Until girls were old enough to be of use in the fields, they sat about in the clearing playing with these dolls."" pg 215",,,,Yes,Yes,Gourd,Play,,,Child,Girl,,,,," (1934) Rebel destiny: among the bush Negroes of Dutch Guiana
Section: 3
By: Herskovits, Melville Jean,",
Warao,Amazon and Orincoco,"""Song is not used by a bahanarotu when he inflicts illness by shooting magical projectiles through the air, except in one very rare instance, namely when a bahanarotu is a daunarima or father of the wood. The wood, daunona, is a small wooden doll over which the daunarima has complete control. As a bahanarotu he can shoot his doll through the air over long distances into the body of his victim. The actual shooting is done with the help of a song, which I was unable to obtain"" pg 116",,,,,,Wood,Magic,Punishment,,,,Adult,Man,,," (1973) Music and shamanism of the Winikina-Warao Indians: songs for curing and other theurgy, volume I
Section: Inflicting
By: Olsen, Dale Alan",
Warao (2),Amazon and Orincoco,"""For the sacred dances which they dance every year in honor of the “ Jebu, ” they place in the middle of 306 cont. the “ jojonoko, ” dance hall, a painted doll called “ Jataburu, ” an arrow shaft made out of a moriche stem, well finished, on the upper part of which they paint, with onoto or charcoal, a head, face, eyes, forehead, and nose, giving it the form of a man, around which they dance during the season of the sacred dances. Since these religious fiestas are in honor of the god “ Jebu, ” I believe that this painted doll is another image of him, thus being able to call it properly, instead of “ Jatabu-ru, ” “ Jebusita, ” effigy of the “ Jebu, ” but I would not venture to state this with absolute certainty. "" pg 311",,,,,Yes,,Magic,Spirits,,,,Adult,,,," (1945) Ethnography of the Guarauno Indians
Section: Chapter XXVII Guaraúno Religion
By: Turrado Moreno, Angel ",
Warao (3),Amazon and Orincoco,"""Girls have wooden dolls made by their fathers and miniature hammocks"" pg 879",,,,,,Wood,Play,,,Child,Girl,Adult,Man,,," (1946) The Warrau
Section: ESTHETIC AND RECREATIONAL ACTIVITIES
By: Kirchhoff, Paul",
Amhara,Eastern Africa,"""“From the adults (children) take both ideas and hand-me-down objects that have been used, worn-out and discarded, for their play activities . . . for adults rarely produce a toy for children nor give them any new, unused object.” Messing, “The Highland-Plateau Amhara,” p. 435. although in some families little dolls made of rags ( ashangulit ) are produced. Children have a rich play-life with their peers, but this consists mostly in imitating various adult activities. "" pg 266",NA,NA,NA,NA,NA,Cloth,Play,,NA,Child,NA,Adult(?),NA,,,"(1965) Wax & gold: tradition and innovation in Ethiopian culture
Section: Education and Socialization
By: Levine, Donald Nathan",
Aleut,Arctic and Subarctic,"""The girls are, however, much more repressed, and, though they have a few games, and play quietly with quaintly dressed dolls, yet they do not appear to be possessed of that usual feminine animation so conspicuously marked in our home-life.”"" pg 240",,,Yes,,,,Play,,,,,Child,Girl,,," (1886) Our Arctic province: Alaska and the Seal Islands
Section: Untitled Section
By: Elliott, Henry Wood",
Copper Inuit,Arctic and Subarctic,"""“The children naturally have many pastimes that imitate the actions of their elders. Girls make dolls out of scraps of skin, and clothe them like real men and women. Their mothers encourage them, for it is in this way that they learn to sew and to cut out patterns. Both boys and girls play at building snow houses"" pg 219",,,Yes,,,"Skin, Cloth",Play,,,,,Child,Girl,,,"1922) The life of the Copper Eskimos
Section: “AMUSEMENTS
By: Jenness, Diamond",
Eyak,Arctic and Subarctic,"""The shaman makes wooden dolls or figures of men, birds, and animals into which he puts his helpers or his own power or “mind.” Johnny Stevens has seen a shaman who had dolls representing a man, a halibut, a seal, and a killerwhale. A doll bought in the store might be used. When the shaman is not using his doll, and his “mind” or his spirit helper is not in it, the image is just an “ordinary” (profane) object.' During the seance the dolls will move according to their nature — walk, fly, etc. — but they cannot change their shape.' Thus the image of a bird cannot turn into a fish, and vice versa. These dolls can be sent more than a thousand miles away. The dolls may be painted, but Johnny Stevens does not know what kind of paint is used."" pg 210",,,,,,,Magic,Spirits,,,,Adult,,,," (1938) The Eyak Indians of the Copper River Delta, Alaska
Section: Shamans.
By: Birket-Smith, Kaj",
Eyak (2),Arctic and Subarctic,"""Galushia said that he had never heard that shamans gave ventriloquist performances with their dolls, but he knew that they were supposed to be able to kill men and animals with them at a distance."" pg 210",,,,,,,Magic,Punishment,,,,Adult,,,," (1938) The Eyak Indians of the Copper River Delta, Alaska
Section: Shamans.
By: Birket-Smith, Kaj",
Ingalik,Arctic and Subarctic,"""lls serve as playthings for babies during the age when they are crawling. Little girls may continue to play with them until they are six or seven years of age but boy babies are definitely discouraged from playing with dol"" pg 390",,,,,,,Play,,,Child,Girl,,,,," (1970) Ingalik material culture
Section: DOLL
By: Osgood, Cornelius",
Ingalik (2),Arctic and Subarctic,"""At the other end of the line, the shaman ties a carved figure or skin of his most powerful medicine. This is known in certain cases to be a wood doll or a hawk skin. The length of line which ties the medicine to the post is used to bind the doll or other object against the post. When trouble threatens the whole village, the doll (or other object) is said to make a noise and pull itself loose. A shamanistic performance is then required for the benefit of the village."" pg 420",,,,,,,Magic,Protection,,,,Adult,,,," (1970) Ingalik material culture
Section: SHAMAN'S PARAPHERNALIA
By: Osgood, Cornelius",
Innu,Arctic and Subarctic,"""Girls play with dolls, and, if they do not possess a real doll, they make one from a piece of rag, a bunch of grass, etc., devoting as much attention to this fabrication as if it were a real infant."" pg 14

""Little girls, for instance, who make dolls of wood and dress them with pieces of cast-off skin, rags, or fur, are prognosticating for themselves a happy and fruitful future as mothers."" pg 196, Speck",Infant,,,,,"Cloth, Grass, Wood",Play,,Caregiving,Child,Girl,Child,Girl,,," (1944) The Woman and the child among the Lac-St-Jean Montagnais
Section: B. EDUCATION OF CHILDREN
By: Burgesse, J. Allan ",
Kaska,Arctic and Subarctic,"""Sometimes the practitioner “blew” water from his mouth on the sore part of a patient's anatomy or he might drive the illness into a foreign object, like a rock or a small doll that had been prepared by his wife. He pushed the image into the patient's body, causing it to disappear. Then object as well as illness were extracted and quickly stuffed into the curer's pouch."" pg 111",,,,,,,Magic,Protection (Healing),,,,Adult,,,," (1954) The Kaska Indians: an ethnographic reconstruction
Section: MAGIC
By: Honigmann, John Joseph",
Ojibwa,Arctic and Subarctic,"""They give this doll a name, signifying “misery” or “misfortune,” and which may be best translated “the doll of sorrow.” This lifeless object takes the place of the deceased child. The mourning mother carries it about for a whole year: she places it near her at the fire, and sighs often enough when gazing on it. She also takes it on her excursions and travels, like a living child. The leading idea, so I was told, was, that the little, helpless, dead creature, as it did not know how to walk, could not find its way into paradise. The mother could help its soul on the journey by continually carrying about its representation. This they bear about till they fancy the spirit of the child has grown sufficiently to be able to help itself along."" pg 108",Child,,,,,,Magic,"Spirits, Funerary",,,,,,,," (1860) Kitchi-Gami: wanderings round Lake Superior
Section: CHAPTER IX.
By: Kohl, Johann Georg",
Ojibwa (2),Arctic and Subarctic,"""Girls play with dolls, erect play houses, and in many ways attempt to imitate their mothers"" pg b41",,,,,,,Play,,,Child,Girl,,,,," (1962) The Round Lake Ojibwa
Section: Childhood:
By: Rogers. Edward S",
Slavey,Arctic and Subarctic,"""Girls often play with a doll, perhaps using simply a little bundle of sticks and rags to simulate a swaddled baby."" pg 93",Infant,,,,,"Wood, Cloth",Play,,Caregiving,,,,,,," (1961) The Lynx Point people: the dynamics of a northern Athapaskan band
Section: Sociable Relations and Recreation
By: Helm, June",
Yi,Asia,"Present (see above) but absent as play object: ""I found out after a while that the fear of the doll was the fear of witchcraft. When there is illness about, especially when the disease is contagious, the wizard is called in, and he makes a kind of doll of straw, etc., and into this doll he charms the demon of the disease. The straw figure is then taken out and placed by the roadside. Before long the demon is supposed to pass into some one or other of the passers-by, and in that case the person originally ill recovers rapidly. It was the fear of the wizard's straw figure that made my prettily dressed dollies so unpopular. I suppose down in the hearts of some of the people there was the fear that I was some powerful medicine man who could bewitch with the little figures in scarlet and blue. Fancy a land where the little girls are afraid to play with a doll!",,,,,,,,,,,,,,,,,
Aranda,Australia,"""“Here then we have the idea of the doll, simple though it be. But after all, simplicity in method, so far as the training of children is concerned, is perhaps the readiest means of stimulating the imitative, and with it the creative, force which Nature has endowed them with.
The doll is usually just a plain stick or stone, with perhaps some distinguishing feature upon it, like a knob at one end which represents the head. Occasionally it is painted with red ochre. Dr. W. E. Roth found that on the Tully River in Queensland a for[unknown] ked stick is chosen so as to permit the child fixing it on its neck like a mother carrying her baby, with its lower limbs dangling over the shoulders. "" pg 80",Infant,,,,,,Play,,Caregiving,Child,,,,,," (1925) The Australian aboriginal
Section: Untitled Section
By: Basedow, Herbert,",
Azande,Central Africa,"""Only one child has been noticed playing with a home-made doll, roughly fashioned out of a piece of wood, which she said was her baby. It is possible that she may have got the idea from seeing other children playing with real dolls that had been given them by Europeans, nothing delighting a Zande girl more than such a present."" pg 27",Infant,NA,NA,NA,NA,Wood,Play,,Caregiving,Child,Girl,NA,NA,,," (1926) An account of the Zande
Section: Untitled Section
By: Larken, P. M",
Balinese,Southeast Asia,""" Through sympathy between the victim and something of his — his image, a photograph or a doll containing any of the above ingredients — his soul is captured and tortured because he feels the harm done to his image. Consequently the Balinese carefully collect and bury all nail-cuttings, hair, tooth-filings, and so forth."" pg 350",Adult,,NA,NA,NA,NA,Magic,Punishment,,,,Adult,,,," (1938) Island of Bali
Section: THE WITCH-DOCTORS, MAGIC, AND MEDICINE
By: Covarrubias, Miguel",
Balinese (2),Southeast Asia,"""During the celebration a doll made of coconut-leaf stems may be thrown away along the road or near the bathing place to ward off the dangers threatening the child."" pg 57",NA,NA,NA,NA,NA,Leaves,Magic,Protection,,,,,,,," (1960) Introduction
Section: 3 Rites de Passage
By: Swellengrebel, J. L. ",
Balinese (3),Southeast Asia,"""2. Sanghyang. A variety of sanghyang is the sanghyang déling found in Kintamani and other villages around the crater of the Batur. The girls are put into the trance by means of two dolls representing the deities, strung through their middles by a cord, the ends of which are attached to short sticks tensely held by two boys. The string with the dolls is thus held taut in front of the two kneeling girls, songs are chanted, and the boys go into trance; their arms become rigid and commence to shake, causing the dolls to dance back and forth across the cord. As the boys shake more and more violently, the vibration increases and the dolls leap, whirl, and clash against each other. The girls have become drowsy and suddenly faint, going into the trance to be dressed and dance as in the ordinary sanghyang. pg 357",Adult,NA,NA,NA,NA,NA,Magic,Spirits,,,,,,,," (1938) Island of Bali
Section: ADDITIONAL NOTES
By: Covarrubias, Miguel",
Bambara,Western Africa,"""If one of the twins dies early in life, as usually happens, the survivor receives a statuette which he keeps all his life with jealous care and to which he gives the name of the deceased. He dresses it to the best of his ability, often covers it with glass trinkets, such as bangles, beads, bits of amber, rings, etc., and well-bred people never give him a gift without adding at least 5 cowrie shells for the statuette."" pg 99",NA,NA,Yes,,,Wood,Magic,,,Child,Boy,Adult,Man,,," (1910) The Soul of an African people: The Bambara: their psychic, ethical, religious and social life
Section: 9. The Twins' Genie
By: Henry, Jos. (Joseph)",
Bemba,Southern Africa,"""Bemba children have no material possessions beyond the twig bow or the maize cob doll, but all the objects they use they are taught to yield up on demand from an elder."" pg 197",NA,NA,NA,NA,NA,Corn,Play,,NA,Child,NA,NA,NA,,," (1939) Land, labour and diet in Northern Rhodesia: an economic study of the Bemba tribe
Section: Education in Distribution
By: Richards, Audrey I. (Audrey Isabel)",
Burusho,South Asia,"""As we came back we found a large group of women and children on the main road, and one of the wee girls had a “doll.” This consisted simply of one piece of stick with some rags hung round it and two cross sticks for arms which were jointed on and neatly attached to a piece of string so that they waved about when you pulled. They made it “dance” for us with much amusement and laughter, but we could not detach 1. Gohir Nimo of No. 9 reaping. ( See p. 134) PLATE XVII 2. Family group of No. (■) Aliko (seated in background) watches Sóni proudly rocking his first grandson. ( See p. 161) the doll and its owner from the crowd to get a decent photograph."" pg 223",NA,NA,Yes,NA,NA,"Wood, Cloth",Play,,NA,Child,Girl,NA,NA,,," (1939) Language hunting in the Karakoram
Section: Chapter 24 BARLEY SOWING AND “STARVATION SPRINGTIME”
By: Lorimer, E. O. (Emily Overend)",
